Identifier,languageCode,countryCode,site,CompetitorModelNumber,curbAdapter,phase,alliedMatchId,GEAModelNumber,associatedProductId
d35f15b55d5ab4d55ac73d8e7f9d2fc2,en,US,91b8f8a911bff655d08192b7e34f37d1,548BJX120,no Transition Curb needed,,74,ZHD120S5,4
659f9408beaca0746fd86ef9ea2022d6,en,US,91b8f8a911bff655d08192b7e34f37d1,548DJX120,no Transition Curb needed,,74,ZHD120S5,4
7b91869a4fa47fb7894b615ddf3de3bf,en,US,91b8f8a911bff655d08192b7e34f37d1,548DTX120,no Transition Curb needed,,74,ZHD120S5,4
9ffbca1eae44f096f670f0d198713be1,en,US,91b8f8a911bff655d08192b7e34f37d1,548CEX120,no Transition Curb needed,,74,ZHD120S5,4
a825585b77a1882859232a20498fbd66,en,US,91b8f8a911bff655d08192b7e34f37d1,548FEX120,no Transition Curb needed,,74,ZHD120S5,4
ae4d3b177573606a22891707034604cf,en,US,91b8f8a911bff655d08192b7e34f37d1,548DEX120,no Transition Curb needed,,74,ZHD120S5,4
0b784004bba053e96559c475de5e2658,en,US,91b8f8a911bff655d08192b7e34f37d1,548CPX120,no Transition Curb needed,,74,ZHD120S5,4
21bb794d0bcf53c00a4f76ba308939cb,en,US,91b8f8a911bff655d08192b7e34f37d1,548CJX120,no Transition Curb needed,,74,ZHD120S5,4
529376f6947864b7a138948e2eac8a9f,en,US,91b8f8a911bff655d08192b7e34f37d1,548DPX120,no Transition Curb needed,,74,ZHD120S5,4
5520f52bf2f179f0b00d8f07b2d88628,en,US,91b8f8a911bff655d08192b7e34f37d1,548CBX120,no Transition Curb needed,,74,ZHD120S5,4
d12d7e794eb16c851c879a03d4a425b6,en,US,91b8f8a911bff655d08192b7e34f37d1,548BTX120,no Transition Curb needed,,74,ZHD120S5,4
be722bc51562cf79ef212b48c36925e0,en,US,91b8f8a911bff655d08192b7e34f37d1,548CTX120,no Transition Curb needed,,74,ZHD120S5,4
911d8f08e8c883e88bc0c84a9dda92fb,en,US,91b8f8a911bff655d08192b7e34f37d1,549BEX120,no Transition Curb needed,,74,ZHD120S5,4
a0a3ddca814960ec45b7361aaaa70391,en,US,91b8f8a911bff655d08192b7e34f37d1,548FTX120,no Transition Curb needed,,74,ZHD120S5,4
ba0c0f22b958263469e7b09fd51a757c,en,US,91b8f8a911bff655d08192b7e34f37d1,548FPX120,no Transition Curb needed,,74,ZHD120S5,4
1fdb8095c14e57cd7e49eebea93e0995,en,US,91b8f8a911bff655d08192b7e34f37d1,548JT12,no Transition Curb needed,,74,ZHD120S5,4
30c1cc7e6595656bca68c68e3fe35d45,en,US,91b8f8a911bff655d08192b7e34f37d1,548JJ12,no Transition Curb needed,,74,ZHD120S5,4
357d0b23b19b13186bad73fa6f4f9072,en,US,91b8f8a911bff655d08192b7e34f37d1,548JP12,no Transition Curb needed,,74,ZHD120S5,4
3ae83f07d299005678b0a59c70e23011,en,US,91b8f8a911bff655d08192b7e34f37d1,548FJX120,no Transition Curb needed,,74,ZHD120S5,4
f747094fb5c868e26ac6cb9958f6228f,en,US,91b8f8a911bff655d08192b7e34f37d1,549BJX120,no Transition Curb needed,,74,ZHD120S5,4
fd943008fd93eca2ff0e4e9e433c98a6,en,US,91b8f8a911bff655d08192b7e34f37d1,548JE12,no Transition Curb needed,,74,ZHD120S5,4
62a1c750749547662a38a04533a4bda1,en,US,91b8f8a911bff655d08192b7e34f37d1,B5CH120A46,11J07,,74,ZHD120S5,4
