site,title,curbAdapter,phase,alliedMatchId,alliedModelNumber,associatedProductId
91b8f8a911bff655d08192b7e34f37d1,ZF090C,,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ090C4,,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ090C2,,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE08A,no Transition Curb needed,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE08D,no Transition Curb needed,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE08D,no Transition Curb needed,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE08N,no Transition Curb needed,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE08R,no Transition Curb needed,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE08M,no Transition Curb needed,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE08L,no Transition Curb needed,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE08F,no Transition Curb needed,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE08S,no Transition Curb needed,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE08E,no Transition Curb needed,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE08T,no Transition Curb needed,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE08L,no Transition Curb needed,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE08F,no Transition Curb needed,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE08T,no Transition Curb needed,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE08N,no Transition Curb needed,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE08M,no Transition Curb needed,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE08E,no Transition Curb needed,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE08R,no Transition Curb needed,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ078E,,,56,ZCD074S5,4
91b8f8a911bff655d08192b7e34f37d1,50CH007-1(Horiz),Ducting Transition may be required.,,56,ZCD074S5,4
91b8f8a911bff655d08192b7e34f37d1,50CH007-5(Horiz),Ducting Transition may be required.,,56,ZCD074S5,4
91b8f8a911bff655d08192b7e34f37d1,50CH007-6(Horiz),Ducting Transition may be required.,,56,ZCD074S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ078C,,,56,ZCD074S5,4
91b8f8a911bff655d08192b7e34f37d1,ZE072C00,10L32,,56,ZCD074S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE06T,no Transition Curb needed,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZE060C00,10L32,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,TCZ060,,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ061C,,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE06E,no Transition Curb needed,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE06D,no Transition Curb needed,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE06M,no Transition Curb needed,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE06S,no Transition Curb needed,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE06R,no Transition Curb needed,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE06F,no Transition Curb needed,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ061E,,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE06A,no Transition Curb needed,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE06L,no Transition Curb needed,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE06N,no Transition Curb needed,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE06A,no Transition Curb needed,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE06T,no Transition Curb needed,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE06M,no Transition Curb needed,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE06E,no Transition Curb needed,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE06D,no Transition Curb needed,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE06N,no Transition Curb needed,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE06L,no Transition Curb needed,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE06F,no Transition Curb needed,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE06R,no Transition Curb needed,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE06S,no Transition Curb needed,,55,ZCD060S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE05T,no Transition Curb needed,,54,ZCD048S5,4
91b8f8a911bff655d08192b7e34f37d1,TCZ048,,,54,ZCD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE05D,no Transition Curb needed,,54,ZCD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE05M,no Transition Curb needed,,54,ZCD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZE048C00,10L32,,54,ZCD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE05R,no Transition Curb needed,,54,ZCD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE05E,no Transition Curb needed,,54,ZCD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE05N,no Transition Curb needed,,54,ZCD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE05A,no Transition Curb needed,,54,ZCD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE05F,no Transition Curb needed,,54,ZCD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE05L,no Transition Curb needed,,54,ZCD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE05S,no Transition Curb needed,,54,ZCD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE05S,no Transition Curb needed,,54,ZCD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE05N,no Transition Curb needed,,54,ZCD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE05R,no Transition Curb needed,,54,ZCD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE05F,no Transition Curb needed,,54,ZCD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE05A,no Transition Curb needed,,54,ZCD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE05E,no Transition Curb needed,,54,ZCD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE05L,no Transition Curb needed,,54,ZCD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE05M,no Transition Curb needed,,54,ZCD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE05D,no Transition Curb needed,,54,ZCD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE05T,no Transition Curb needed,,54,ZCD048S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE04S,no Transition Curb needed,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZE036C00,10L32,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE04E,no Transition Curb needed,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ037E,,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ037C,,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE04D,no Transition Curb needed,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,TCZ036,,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE04A,no Transition Curb needed,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE04N,no Transition Curb needed,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE04F,no Transition Curb needed,,53,ZCD036S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE04T,no Transition Curb needed,,53,ZCD036S5,4
